"","Scleractinian_branching","Scleractinian_encrusting","Scleractinian_massive","Scleractinian_laminar","Scleractinian_solitary","Gorgonia","Black_coral","Hydroids","CCA","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others"
"20_SOCBOR2_7",9.34,2.67,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_8",24,4,0,0,0,0,0,0,0,0,2.67,0,0,0,0
"20_SOCBOR2_9",2.67,1.33,0,0,1.33,0,0,0,0,0,2.67,0,0,0,0
"20_SOCBOR2_10",56,5.33,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_11",10.67,1.33,0,0,4,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_12",34.67,1.33,2.66,0,0,0,0,0,0,0,0,0,0,6.67,0
"20_SOCBOR2_13",18.67,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_14",13.34,2.66,0,0,0,0,0,0,0,0,1.33,0,0,0,0
"20_SOCBOR2_15",50.66,2.66,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_16",12,5.34,1.33,0,0,0,0,0,0,0,4,0,0,0,0
"20_SOCBOR2_17",6.66,1.33,1.33,0,1.33,0,0,0,0,0,8,0,0,0,0
"20_SOCBOR2_18",37.33,2.67,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_19",48,1.33,4,0,0,0,0,0,0,0,1.33,0,0,0,0
"20_SOCBOR2_20",40,1.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_21",36,1.33,5.33,0,0,0,0,0,2.67,0,6.67,0,0,0,0
"20_SOCBOR2_22",0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_23",13.33,1.33,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR2_24",17.33,4,5.33,0,0,0,0,0,0,0,1.33,0,0,0,0
"20_SOCBOR2_25",36,0,0,0,0,0,0,0,4,0,0,0,0,1.33,0
"20_SOCBOR2_26",45.33,2.67,2.67,0,0,0,0,0,2.67,0,1.33,0,0,0,0
"20_SOCBOR2_27",26.67,15.99,8,0,1.33,0,0,0,5.33,0,1.33,0,0,0,0
"20_SOCBOR2_28",45.34,12,0,0,1.33,0,0,0,2.66,0,0,0,0,1.33,0
"20_SOCBOR2_29",38.66,2.67,0,0,0,0,0,0,2.67,0,4,0,0,0,0
"20_SOCBOR2_30",8,1.33,1.33,0,0,0,0,0,0,0,2.66,0,0,0,0
"20_SOCMOO1_1",12,2.67,0,0,0,0,0,0,9.33,0,4,0,4,0,0
"20_SOCMOO1_2",9.33,5.33,0,0,1.33,0,0,0,1.33,0,2.67,4,0,0,0
"20_SOCMOO1_3",12,8,0,0,0,0,0,0,9.33,0,0,0,0,0,0
"20_SOCMOO1_4",17.33,2.66,0,0,0,0,0,0,9.33,0,0,8,0,0,0
"20_SOCMOO1_5",10.66,2.67,0,0,0,0,0,0,2.67,0,1.33,0,6.67,0,0
"20_SOCMOO1_6",16,6.67,0,0,2.67,0,0,0,1.33,0,1.33,0,6.67,0,0
"20_SOCMOO1_7",25.33,0,2.66,0,2.67,0,0,0,5.33,0,0,0,0,0,0
"20_SOCMOO1_8",32,5.33,4,0,0,0,0,0,0,0,1.33,0,0,0,0
"20_SOCMOO1_9",17.34,1.33,2.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCMOO1_10",0,1.33,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCMOO1_11",17.33,4,1.33,0,1.33,0,0,0,8,0,0,0,0,0,0
"20_SOCMOO1_12",29.33,1.33,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCMOO1_13",36,3.99,6.66,0,1.33,0,0,0,4,0,1.33,0,0,1.33,0
"20_SOCMOO1_14",30.67,0,6.67,0,0,0,0,0,9.33,0,1.33,0,0,0,0
"20_SOCMOO1_15",21.33,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCMOO1_16",30.66,1.33,14.67,0,0,0,0,0,8,0,0,0,0,1.33,0
"20_SOCMOO1_17",48,4,4,0,1.33,0,0,0,4,0,1.33,0,0,0,0
"20_SOCMOO1_18",20,1.33,10.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCMOO1_19",45.33,2.67,2.67,0,0,0,0,0,4,0,4,0,1.33,1.33,0
"20_SOCMOO1_20",29.33,1.33,1.33,0,1.33,0,0,0,0,0,1.33,0,0,0,0
"20_SOCMOO1_21",2.67,0,2.67,0,0,0,0,0,0,0,0,0,5.33,0,0
"20_SOCMOO1_22",5.33,4,2.66,0,0,0,0,0,4,0,0,0,2.67,0,0
"20_SOCMOO1_23",24,4,0,0,0,0,0,0,0,0,0,0,1.33,0,0
"20_SOCMOO1_24",22.67,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCMOO1_25",54.67,5.34,2.66,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_SOCMOO1_26",0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0
"20_SOCMOO1_27",32,1.33,1.33,0,0,0,0,0,4,0,2.67,0,0,0,0
"20_SOCMOO1_28",6.66,2.67,0,0,0,0,0,0,2.67,0,0,0,1.33,0,0
"20_SOCMOO1_29",8,1.33,0,0,0,0,0,0,1.33,0,0,0,2.67,0,0
"20_SOCMOO1_30",10.66,6.67,2.67,0,0,0,0,0,20,0,1.33,0,2.67,0,0
"20_SOCMOO2_1",38.67,13.32,5.33,0,0,0,0,0,8,0,0,0,0,1.33,0
"20_SOCMOO2_2",24,8,4,0,0,0,0,0,8,0,2.67,0,0,1.33,0
"20_SOCMOO2_3",12,9.32,5.33,4,10.66,0,0,0,5.33,0,0,0,0,1.33,0
"20_SOCMOO2_4",30.66,6.67,6.67,0,2.67,0,0,0,8,0,4,0,0,8,0
"20_SOCMOO2_5",17.33,5.33,1.33,0,1.33,0,0,0,9.33,0,0,0,0,10.67,0
"20_SOCMOO2_6",17.33,18.67,3.99,0,0,0,0,0,12,0,0,0,0,12,0
"20_SOCMOO2_7",16,8,2.66,0,13.33,0,0,0,1.33,0,1.33,0,0,0,1.33
"20_SOCMOO2_8",28,11.99,2.67,0,2.67,0,0,0,17.33,0,1.33,0,0,5.33,0
"20_SOCMOO2_9",45.34,7.99,2.66,1.33,1.33,0,0,0,2.67,0,0,0,0,10.67,0
"20_SOCMOO2_10",24,16,1.33,0,1.33,0,0,0,10.67,0,0,0,0,4,0
"20_SOCMOO2_11",10.67,17.33,5.33,0,0,0,0,0,6.67,0,2.67,0,0,2.67,0
"20_SOCMOO2_12",53.33,9.32,7.99,0,0,0,0,0,6.67,0,0,0,0,0,0
"20_SOCMOO2_13",18.67,14.66,5.33,4,2.66,0,0,0,5.33,0,0,0,0,0,0
"20_SOCMOO2_14",14.67,22.67,2.67,0,4,0,0,0,9.33,0,0,0,0,0,0
"20_SOCMOO2_15",33.34,2.67,6.66,1.33,1.33,0,0,0,4,0,0,0,0,0,0
"20_SOCMOO2_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20_SOCMOO2_17",10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCMOO2_18",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCMOO2_19",24,5.33,6.67,0,0,0,0,0,5.33,0,2.67,0,0,2.67,0
"20_SOCMOO2_20",20.01,6.66,6.66,0,4,0,0,0,9.33,0,0,0,0,0,0
"20_SOCMOO2_21",1.33,0,8,0,1.33,0,0,0,2.67,0,0,0,0,0,0
"20_SOCMOO2_22",29.33,1.33,4,0,0,0,0,0,6.67,0,4,0,0,6.67,0
"20_SOCMOO2_23",30.66,12,5.32,0,8,0,0,0,8,0,0,0,0,4,0
"20_SOCMOO2_24",9.33,0,0,0,0,0,0,0,2.67,0,2.67,0,0,10.67,0
"20_SOCMOO2_25",32,12,8,0,4,0,0,0,5.33,0,1.33,0,0,1.33,0
"20_SOCMOO2_26",42.67,2.67,4,0,2.67,0,0,0,1.33,0,0,0,0,6.67,0
"20_SOCMOO2_27",26.67,16,4,4,1.33,0,0,0,5.33,0,0,0,0,6.67,0
"20_SOCMOO2_28",8,4,7.99,0,4,0,0,0,21.33,0,0,0,0,2.67,0
"20_SOCMOO2_29",32,5.33,2.66,0,0,0,0,0,6.67,0,6.67,0,0,1.33,0
"20_SOCMOO2_30",28,14.66,2.66,0,1.33,0,0,0,4,0,0,0,0,0,0
"20_SOCTAH1_1",16,2.66,13.33,0,0,0,0,0,10.67,0,0,0,0,0,0
"20_SOCTAH1_2",36,2.66,11.99,1.33,0,0,0,0,2.67,0,0,0,0,0,0
"20_SOCTAH1_3",46.66,1.33,21.33,0,0,0,0,0,4,0,0,0,0,0,0
"20_SOCTAH1_4",45.33,2.67,24,2.67,0,0,0,0,6.67,0,0,0,0,0,0
"20_SOCTAH1_5",34.67,1.33,2.67,0,0,0,0,0,20,0,0,0,0,0,0
"20_SOCTAH1_6",17.33,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCTAH1_7",64,0,6.67,0,0,0,0,0,4,0,0,0,0,0,0
"20_SOCTAH1_8",44,5.34,5.33,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_SOCTAH1_9",24,4,38.67,0,1.33,0,0,0,0,0,0,0,0,0,0
"20_SOCTAH1_10",50.67,9.33,5.33,0,1.33,0,0,0,1.33,0,0,0,0,0,1.33
"20_SOCTAH1_11",24,0,22.66,0,0,0,0,0,6.67,0,1.33,0,0,0,0
"20_SOCTAH1_12",24,10.66,7.99,0,2.67,0,0,0,2.67,0,0,0,0,0,0
"20_SOCTAH1_13",58.67,6.67,8,0,0,0,0,0,4,0,0,0,0,0,0
"20_SOCTAH1_14",57.33,1.33,3.99,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_SOCTAH1_15",40,0,6.66,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_SOCTAH1_16",33.33,10.66,4,0,0,0,0,0,2.67,0,0,0,0,0,0
"20_SOCTAH1_17",64,2.67,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCTAH1_18",37.34,9.33,9.33,0,0,0,0,0,8,0,0,0,0,0,0
"20_SOCTAH1_19",10.67,0,70.66,0,0,0,0,0,2.67,0,0,0,0,0,0
"20_SOCTAH1_20",42.67,2.66,13.33,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_SOCTAH1_21",45.34,10.67,12,0,1.33,0,0,0,1.33,0,0,0,0,0,0
"20_SOCTAH1_22",54.66,9.33,3.99,0,0,0,0,0,4,0,0,0,0,1.33,0
"20_SOCTAH1_23",56,6.67,5.33,5.33,0,0,0,0,0,0,0,0,0,0,1.33
"20_SOCTAH1_24",34.67,11.99,8,2.67,0,0,0,0,4,0,0,0,0,0,0
"20_SOCTAH1_25",52,8,10.67,0,0,0,0,0,6.67,0,0,0,0,0,0
"20_SOCTAH1_26",42.67,16,4,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCTAH1_27",28,0,17.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCTAH1_28",49.34,8,8,0,2.66,0,0,0,0,0,0,0,0,0,0
"20_SOCTAH1_29",46.66,4,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCTAH1_30",37.33,10.66,10.67,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_SOCTAH2_1",8,21.32,0,5.33,0,0,0,0,20,0,2.67,0,0,0,0
"20_SOCTAH2_2",1.33,16,1.33,8,0,0,0,0,4,0,2.67,0,0,1.33,0
"20_SOCTAH2_3",4,8,4,0,0,0,0,0,0,0,1.33,0,0,1.33,0
"20_SOCTAH2_4",25.33,9.33,5.33,0,0,0,0,0,4,0,0,0,0,0,2.67
"20_SOCTAH2_5",16,25.33,17.34,2.67,0,0,0,0,1.33,0,1.33,0,0,0,0
"20_SOCTAH2_6",5.33,6.67,5.33,8,0,0,0,0,6.67,0,2.67,0,0,0,0
"20_SOCTAH2_7",2.66,30.67,1.33,6.67,0,0,0,0,6.67,1.33,0,0,0,0,0
"20_SOCTAH2_8",0,16.01,5.33,8,1.33,0,0,0,5.33,1.33,1.33,0,0,0,0
"20_SOCTAH2_9",2.66,5.33,5.33,0,1.33,0,0,0,4,0,0,0,0,0,1.33
"20_SOCTAH2_10",9.33,6.67,4,1.33,0,0,0,0,6.67,0,5.33,0,0,0,0
"20_SOCTAH2_11",6.67,8,1.33,34.67,1.33,0,0,0,10.67,0,1.33,0,0,1.33,0
"20_SOCTAH2_12",0,48,0,0,1.33,0,0,0,8,0,1.33,0,0,0,0
"20_SOCTAH2_13",4,14.67,2.66,5.33,0,0,0,0,8,0,2.67,0,0,0,0
"20_SOCTAH2_14",1.33,29.33,1.33,5.33,0,0,0,0,5.33,0,1.33,0,0,0,0
"20_SOCTAH2_15",0,33.33,0,7.99,0,0,0,0,13.33,0,4,0,0,0,9.33
"20_SOCTAH2_16",0,12,1.33,9.33,0,0,0,0,26.67,0,2.67,0,0,0,0
"20_SOCTAH2_17",0,12,10.67,4,0,0,0,0,18.67,1.33,0,0,0,0,0
"20_SOCTAH2_18",2.66,28,5.33,6.66,0,0,0,0,12,4,9.34,0,0,1.33,0
"20_SOCTAH2_19",2.67,26.67,0,26.67,0,0,0,0,9.33,2.67,0,0,0,0,0
"20_SOCTAH2_20",6.67,22.67,0,44,0,0,0,0,16,1.33,0,0,0,0,0
"20_SOCTAH2_21",0,37.33,4,2.67,0,0,0,0,12,5.33,4,0,0,0,0
"20_SOCTAH2_22",4,16,4,1.33,0,0,0,0,20,13.33,0,0,0,0,0
"20_SOCTAH2_23",4,18.66,1.33,5.33,0,0,0,0,8,1.33,1.33,0,0,1.33,0
"20_SOCTAH2_24",0,17.33,13.33,5.34,0,0,0,0,6.67,24,1.33,0,0,0,0
"20_SOCTAH2_25",2.67,21.33,1.33,0,1.33,0,0,0,10.67,0,2.67,0,0,0,0
"20_SOCTAH2_26",5.34,18.67,0,16,0,0,0,0,5.33,2.67,0,0,0,0,0
"20_SOCTAH2_27",16,13.33,0,28,0,0,0,0,2.67,5.33,0,0,0,0,0
"20_SOCTAH2_28",9.33,31.99,4,9.33,0,0,0,0,6.67,1.33,2.67,0,0,0,0
"20_SOCTAH2_29",12,6.67,15.99,5.34,0,0,0,0,2.67,0,4,0,0,0,0
"20_SOCTAH2_30",6.67,9.34,1.33,9.33,0,0,0,0,17.33,2.67,2.66,0,0,0,0
"20_TUAMAK1_1",8,28,8,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_TUAMAK1_2",44,12,2.67,16,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK1_3",12,23.99,33.33,0,0,0,0,0,1.33,0,0,0,0,1.33,0
"20_TUAMAK1_4",9.33,13.34,1.33,0,1.33,0,0,0,4,0,0,0,0,0,0
"20_TUAMAK1_5",9.33,37.34,0,0,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK1_6",20,20,2.67,5.33,0,0,0,0,2.67,0,0,0,0,0,0
"20_TUAMAK1_7",24,40,0,18.67,0,0,0,0,0,0,0,1.33,0,0,0
"20_TUAMAK1_8",62.67,1.33,0,4,0,0,0,0,6.67,0,0,0,0,0,0
"20_TUAMAK1_9",37.33,14.66,23.99,0,0,0,0,0,2.67,0,0,0,0,0,0
"20_TUAMAK1_10",30.67,30.66,0,1.33,0,0,0,0,1.33,0,0,0,0,0,0
"20_TUAMAK1_11",17.33,20,4,25.34,0,0,0,0,1.33,0,2.67,0,0,0,0
"20_TUAMAK1_12",42.67,6.67,24,10.67,0,0,0,0,5.33,0,0,0,0,0,0
"20_TUAMAK1_13",13.33,17.33,0,18.67,0,0,0,0,1.33,0,0,2.67,0,0,0
"20_TUAMAK1_14",16,22.66,2.66,2.67,0,0,0,0,6.67,0,0,0,0,0,0
"20_TUAMAK1_15",25.33,9.33,32,0,0,0,0,0,2.67,0,0,0,0,1.33,0
"20_TUAMAK1_16",2.67,7.99,28,10.67,0,0,0,0,8,0,0,0,0,0,0
"20_TUAMAK1_17",43.99,24,2.67,2.67,0,0,0,0,2.67,0,0,0,0,0,0
"20_TUAMAK1_18",25.33,24,1.33,4,0,0,0,0,2.67,0,1.33,0,1.33,0,0
"20_TUAMAK1_19",45.33,16,0,0,0,0,0,0,2.67,0,0,0,0,0,0
"20_TUAMAK1_20",44,17.34,8,0,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK1_21",25.34,20,10.67,21.33,0,0,0,0,1.33,0,0,0,0,0,0
"20_TUAMAK1_22",49.33,8,9.33,6.67,1.33,0,0,0,1.33,0,0,0,0,0,0
"20_TUAMAK1_23",25.33,2.67,4,0,0,0,0,0,1.33,0,4,0,0,0,0
"20_TUAMAK1_24",15.99,28,29.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK1_25",26.67,2.66,6.66,1.33,0,0,0,0,10.67,0,0,0,2.67,0,0
"20_TUAMAK1_26",8,42.66,8,0,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK1_27",33.34,14.66,0,10.67,0,0,0,0,2.67,0,0,0,0,0,0
"20_TUAMAK1_28",17.34,29.33,1.33,17.33,0,0,0,0,8,0,0,0,0,1.33,0
"20_TUAMAK1_29",20,17.34,1.33,18.67,0,0,0,0,2.67,0,0,2.67,2.67,0,0
"20_TUAMAK1_30",28,6.66,5.33,16,0,0,0,0,1.33,0,0,0,1.33,0,0
"20_TUAMAK2_1",34.67,5.34,0,13.33,0,0,0,0,0,0,0,0,0,0,1.33
"20_TUAMAK2_2",14.67,6.67,0,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_TUAMAK2_3",13.33,5.34,5.34,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_TUAMAK2_4",13.33,5.33,0,2.67,0,0,0,0,0,0,21.33,0,0,0,0
"20_TUAMAK2_5",1.33,2.66,29.33,0,0,0,0,0,0,0,9.33,0,0,0,0
"20_TUAMAK2_6",12,0,33.33,12,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_7",25.33,0,25.33,2.67,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_8",44,2.66,4,8,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_9",10.67,4,0,69.33,0,0,0,0,1.33,0,0,0,0,0,0
"20_TUAMAK2_10",38.67,0,0,61.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_11",8,28,9.33,1.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_12",28,14.66,1.33,13.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_13",18.66,6.66,0,38.67,0,0,0,0,0,0,2.67,0,0,0,0
"20_TUAMAK2_14",36,12,5.34,13.33,0,0,0,0,0,0,1.33,0,0,0,0
"20_TUAMAK2_15",25.33,14.67,1.33,20,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_16",78.67,2.67,0,10.67,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_17",23.99,24,5.33,24,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_18",24,0,50.67,13.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_19",18.67,10.66,56,6.67,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_20",37.33,1.33,0,49.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_21",6.66,28,1.33,20,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_22",33.34,2.67,0,56,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_23",33.34,50.67,1.33,5.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_24",30.67,0,0,64,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_25",17.34,11.99,0,41.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_26",53.33,0,0,29.33,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_27",20,6.66,0,10.67,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_28",46.67,12,0,24,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_29",18.67,64,5.33,4,0,0,0,0,0,0,0,0,0,0,0
"20_TUAMAK2_30",8,12,42.67,6.67,0,0,0,0,0,0,0,1.33,0,0,0
"20_TUARAN1_1",1.33,0,10.67,2.67,2.67,0,0,0,4,0,8,1.33,0,2.67,0
"20_TUARAN1_2",1.33,0,2.67,0,0,0,0,0,4,0,5.34,9.33,0,0,0
"20_TUARAN1_3",1.33,1.33,0,0,0,0,0,0,6.67,0,8,24,0,0,0
"20_TUARAN1_4",1.33,0,9.33,0,1.33,0,0,0,2.67,0,5.33,30.67,0,0,0
"20_TUARAN1_5",0,2.67,2.67,0,1.33,0,0,0,0,0,1.33,6.67,0,0,0
"20_TUARAN1_6",0,0,36,0,5.33,0,0,0,6.67,0,0,4,0,0,0
"20_TUARAN1_7",1.33,0,1.33,0,1.33,0,0,0,6.67,0,2.66,25.33,0,0,0
"20_TUARAN1_8",0,1.33,13.33,0,0,0,0,0,6.66,0,2.67,8,0,0,0
"20_TUARAN1_9",0,0,5.33,0,2.67,0,0,0,2.66,0,6.67,32,0,0,0
"20_TUARAN1_10",0,0,17.33,0,2.67,0,0,0,1.33,0,4,18.66,0,0,0
"20_TUARAN1_11",0,0,5.33,0,0,0,0,0,12,0,5.33,0,0,0,0
"20_TUARAN1_12",1.33,0,10.66,0,0,0,0,0,2.66,0,2.67,8,0,0,0
"20_TUARAN1_13",0,0,5.33,0,0,0,0,0,6.67,0,0,24,0,0,0
"20_TUARAN1_14",0,1.33,2.66,0,0,0,0,0,0,0,1.33,10.66,0,0,0
"20_TUARAN1_15",0,1.33,0,0,1.33,0,0,0,4,0,0,30.66,0,0,0
"20_TUARAN1_16",0,2.66,5.33,0,4,0,0,0,2.67,0,0,26.67,0,0,0
"20_TUARAN1_17",0,0,20,0,0,0,0,0,2.67,0,1.33,38.67,0,0,0
"20_TUARAN1_18",2.67,0,2.67,0,0,0,0,0,10.67,0,0,60,0,0,0
"20_TUARAN1_19",1.33,0,10.67,0,2.67,0,0,0,6.66,0,0,0,0,2.67,0
"20_TUARAN1_20",0,0,2.67,0,4,0,0,0,4,0,2.66,37.33,0,0,0
"20_TUARAN1_21",1.33,0,0,0,0,0,0,0,8,0,12,29.33,0,0,0
"20_TUARAN1_22",0,0,10.66,0,0,0,0,0,2.66,0,0,29.34,0,0,0
"20_TUARAN1_23",0,2.66,26.66,0,0,0,0,0,6.67,0,6.67,20,0,0,0
"20_TUARAN1_24",1.33,0,9.33,0,0,0,0,0,4,0,0,30.67,0,0,0
"20_TUARAN1_25",0,0,5.33,0,1.33,0,0,0,5.33,0,2.67,13.33,0,0,0
"20_TUARAN1_26",0,1.33,4,0,0,0,0,0,5.33,0,0,5.34,0,0,0
"20_TUARAN1_27",0,0,16,0,1.33,0,0,0,4,0,4,2.67,0,0,0
"20_TUARAN1_28",5.33,0,3.99,0,0,0,0,0,2.66,0,6.66,20,0,2.67,0
"20_TUARAN1_29",1.33,0,20,0,0,0,0,0,1.33,0,0,18.66,0,6.67,0
"20_TUARAN1_30",1.33,0,1.33,0,0,0,0,0,2.67,0,0,10.66,0,1.33,0
"20_TUARAN2_1",9.33,5.33,34.66,0,4,0,0,0,14.67,0,0,0,0,0,0
"20_TUARAN2_2",4,0,45.33,0,1.33,0,0,0,6.67,0,0,0,0,1.33,0
"20_TUARAN2_3",0,0,81.33,0,0,0,0,0,4,0,1.33,5.33,0,2.67,0
"20_TUARAN2_4",0,0,46.66,0,0,0,0,0,13.33,0,0,2.67,0,0,0
"20_TUARAN2_5",1.33,0,46.67,0,0,0,0,0,12,0,0,0,0,0,0
"20_TUARAN2_6",17.33,0,29.33,0,0,0,0,0,12,0,0,0,0,0,0
"20_TUARAN2_7",21.33,0,12,0,0,0,0,0,18.66,0,0,0,0,1.33,0
"20_TUARAN2_8",1.33,0,56,0,0,0,0,0,12,0,4,0,0,0,0
"20_TUARAN2_9",9.33,0,6.67,0,9.33,0,0,0,12,0,0,0,0,1.33,0
"20_TUARAN2_10",13.33,1.33,20,0,0,0,0,0,20,0,0,0,0,0,0
"20_TUARAN2_11",2.67,0,22.66,0,4,0,0,0,9.33,0,0,0,0,2.67,0
"20_TUARAN2_12",0,0,41.33,0,0,0,0,0,12,0,0,0,0,0,0
"20_TUARAN2_13",10.67,1.33,6.66,0,1.33,0,0,0,16,0,0,0,0,1.33,0
"20_TUARAN2_14",4,0,65.34,0,1.33,0,0,0,13.33,0,0,0,0,0,0
"20_TUARAN2_15",5.33,0,52,0,0,0,0,0,10.67,0,0,0,0,0,0
"20_TUARAN2_16",10.67,0,9.33,0,10.67,0,0,0,5.33,0,0,0,0,0,0
"20_TUARAN2_17",9.33,0,16,0,16,0,0,0,33.33,0,0,0,0,0,0
"20_TUARAN2_18",4,0,32,0,2.67,0,0,0,36,0,0,0,0,0,0
"20_TUARAN2_19",0,0,25.33,0,0,0,0,0,25.33,0,6.67,0,0,0,0
"20_TUARAN2_20",5.33,0,13.33,0,14.67,0,0,0,20,0,0,0,0,0,0
"20_TUARAN2_21",1.33,1.33,30.66,0,1.33,0,0,0,8,0,0,0,0,0,0
"20_TUARAN2_22",2.67,1.33,65.33,0,1.33,0,0,0,6.67,0,0,0,0,0,0
"20_TUARAN2_23",5.33,0,68,0,6.67,0,0,0,8,0,0,0,0,0,0
"20_TUARAN2_24",25.33,0,18.66,0,1.33,0,0,0,17.33,0,0,0,0,0,0
"20_TUARAN2_25",12,1.33,26.66,0,1.33,0,0,0,9.33,0,0,0,0,0,0
"20_TUARAN2_26",4,0,4,0,9.33,0,0,0,12,0,0,0,0,0,0
"20_TUARAN2_27",9.33,0,29.33,0,0,0,0,0,6.67,0,5.33,2.67,0,1.33,0
"20_TUARAN2_28",2.67,0,1.33,0,0,0,0,0,22.67,0,12,0,0,1.33,0
"20_TUARAN2_29",0,0,70.67,0,1.33,0,0,0,8,0,0,0,0,0,0
"20_TUARAN2_30",10.67,1.33,2.67,0,2.66,0,0,0,8,0,0,0,0,0,0
"20_TUARAR1_1",2.67,12,49.33,0,0,0,0,0,1.33,0,0,0,0,0,1.33
"20_TUARAR1_2",0,0,82.67,2.67,0,0,0,0,0,0,6.67,0,0,0,0
"20_TUARAR1_3",0,19.99,21.33,12,0,0,0,0,1.33,0,10.67,0,0,0,1.33
"20_TUARAR1_4",0,17.33,9.33,0,0,0,0,0,5.34,0,2.67,0,0,0,0
"20_TUARAR1_5",4,0,44,0,0,0,0,0,6.67,0,0,0,0,0,0
"20_TUARAR1_6",4,10.66,58.66,5.33,0,0,0,0,2.67,0,1.33,0,0,0,0
"20_TUARAR1_7",4,1.33,21.33,0,0,0,0,0,21.34,0,6.67,13.33,0,0,0
"20_TUARAR1_8",2.67,5.33,50.67,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_TUARAR1_9",0,0,44,0,0,0,0,0,9.34,0,4,0,0,0,0
"20_TUARAR1_10",0,0,68,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_TUARAR1_11",0,0,38.67,0,5.33,0,0,0,4,0,21.33,0,0,0,0
"20_TUARAR1_12",0,2.67,78.67,0,0,0,0,0,1.33,0,1.33,0,0,0,0
"20_TUARAR1_13",4,40,44,0,0,0,0,0,4,0,0,0,0,0,0
"20_TUARAR1_14",0,0,45.33,0,0,0,0,0,1.33,0,13.33,0,0,0,0
"20_TUARAR1_15",2.66,5.33,30.67,0,0,0,0,0,17.33,0,0,5.33,0,0,0
